mode,round,step,active_tokens,physical_capacity,duration_ms
buckets,3,10,16384,16384,43.607812374830246
buckets,3,11,12288,12288,37.79655322432518
buckets,3,12,3072,4096,27.759691700339317
buckets,3,13,16384,16384,47.60243743658066
buckets,3,14,12288,12288,38.070425391197205
buckets,3,15,3072,4096,25.396255776286125
buckets,3,16,16384,16384,43.8309907913208
buckets,3,17,12288,12288,37.68853843212128
buckets,3,18,3072,4096,26.663120836019516
buckets,3,19,16384,16384,46.996306627988815
buckets,3,20,12288,12288,37.51131519675255
buckets,3,21,3072,4096,26.833493262529373
buckets,3,22,16384,16384,42.91369393467903
buckets,3,23,12288,12288,39.37738016247749
buckets,3,24,3072,4096,26.03849209845066
buckets,3,25,16384,16384,43.93117129802704
buckets,3,26,12288,12288,41.06679558753967
buckets,3,27,3072,4096,24.857310578227043
buckets,3,28,16384,16384,42.89371520280838
buckets,3,29,12288,12288,37.9798486828804
buckets,3,30,3072,4096,26.585310697555542
buckets,3,31,16384,16384,43.222807347774506
buckets,3,32,12288,12288,37.66236454248428
buckets,3,33,3072,4096,25.95401182770729
buckets,3,34,16384,16384,41.738249361515045
buckets,3,35,12288,12288,39.24251347780228
buckets,3,36,3072,4096,25.47634392976761
buckets,3,37,16384,16384,45.05077376961708
buckets,3,38,12288,12288,36.97006776928902
buckets,3,39,3072,4096,26.5487227588892
buckets,3,40,16384,16384,41.09964892268181
